Generator,Scenario,Category
2_Belle_River,nonfocus_MISO,Boiler (Coal)
2_Boundary_Dam,nonfocus_MRO,Boiler (Coal)
2_Bowen,nonfocus_SERC,Boiler (Coal)
2_Cardinal,nonfocus_PJM,Boiler (Coal)
2_Cayuga,nonfocus_MISO,Boiler (Coal)
2_Cayuga_Operating_Company,nonfocus_NYISO,Boiler (Coal)
2_Charles_R_Lowman,nonfocus_SERC,Boiler (Coal)
2_Clay_Boswell,nonfocus_MISO,Boiler (Coal)
2_Clifty_Creek,nonfocus_PJM,Boiler (Coal)
2_Clover,nonfocus_PJM,Boiler (Coal)
2_Coal_Creek,nonfocus_MISO,Boiler (Coal)
2_Coffeen,nonfocus_MISO,Boiler (Coal)
2_Columbia__WI_,nonfocus_MISO,Boiler (Coal)
2_Dallman,nonfocus_MISO,Boiler (Coal)
2_E_W_Brown,nonfocus_TVA,Boiler (Coal)
2_East_Bend,nonfocus_PJM,Boiler (Coal)
2_Elmer_Smith,nonfocus_TVA,Boiler (Coal)
2_F_B_Culley,nonfocus_MISO,Boiler (Coal)
2_FirstEnergy_Bruce_Mansfield,nonfocus_PJM,Boiler (Coal)
2_FirstEnergy_Fort_Martin_Power_Station,nonfocus_PJM,Boiler (Coal)
2_FirstEnergy_Harrison_Power_Station,nonfocus_PJM,Boiler (Coal)
2_FirstEnergy_Pleasants_Power_Station,nonfocus_PJM,Boiler (Coal)
2_Gerald_Gentleman,nonfocus_SPP,Boiler (Coal)
2_Ghent,nonfocus_TVA,Boiler (Coal)
2_Gibson,nonfocus_MISO,Boiler (Coal)
2_GREC,nonfocus_SPP,Boiler (Coal)
2_Greene_County,nonfocus_SERC,Boiler (Coal)
2_H_Chalk_Point_LLC,nonfocus_PJM,Boiler (Coal)
2_H_Conemaugh,nonfocus_PJM,Boiler (Coal)
2_H_Dickerson,nonfocus_PJM,Boiler (Coal)
2_H_Keystone,nonfocus_PJM,Boiler (Coal)
2_H_Sioux,nonfocus_MISO,Boiler (Coal)
2_H_South_Oak_Creek,nonfocus_MISO,Boiler (Coal)
2_H_Waukegan,nonfocus_PJM,Boiler (Coal)
2_Hammond,nonfocus_SERC,Boiler (Coal)
2_Holcomb,nonfocus_SPP,Boiler (Coal)
2_Homer_City_Generating_Station,nonfocus_PJM,Boiler (Coal)
2_Iatan,nonfocus_SPP,Boiler (Coal)
2_J_H_Campbell,nonfocus_MISO,Boiler (Coal)
2_J_M_Stuart,nonfocus_PJM,Boiler (Coal)
2_James_H_Miller_Jr,nonfocus_SERC,Boiler (Coal)
2_John_E_Amos,nonfocus_PJM,Boiler (Coal)
2_Joppa_Steam,nonfocus_MISO,Boiler (Coal)
2_Kenneth_C_Coleman,nonfocus_MISO,Boiler (Coal)
