Generator,Category
1_1_Covanta_Niagara_LP,Boiler (Diesel Oil)
1_1_Eddystone_Generating_Station,Boiler (Diesel Oil)
1_1_Hillsborough_County_Resource_Recovery,Boiler (Diesel Oil)
1_1_Lee_County_Solid_Waste_Energy,Boiler (Diesel Oil)
1_1_Mosaic_New_Wales_Operations,Boiler (Diesel Oil)
1_1_Pinellas_County_Resource_Recovery,Boiler (Diesel Oil)
1_A_Wheelabrator_Portsmouth,Boiler (Diesel Oil)
1_ABBK_Biomass_Plant,Boiler (Diesel Oil)
1_B_Wheelabrator_Portsmouth,Boiler (Diesel Oil)
1_C_Wheelabrator_Portsmouth,Boiler (Diesel Oil)
1_Canal,Boiler (Diesel Oil)
1_Cibro_Petroleum,Boiler (Diesel Oil)
1_Covanta_Babylon_Inc,Boiler (Diesel Oil)
1_Covanta_Bristol_Energy,Boiler (Diesel Oil)
1_Covanta_Delaware_Valley,Boiler (Diesel Oil)
1_Covanta_Haverhill,Boiler (Diesel Oil)
1_Covanta_Hempstead,Boiler (Diesel Oil)
1_Covanta_Hennepin_Energy,Boiler (Diesel Oil)
1_Covanta_Lake_County_Energy,Boiler (Diesel Oil)
1_Covanta_Plymouth_Renewable_Energy,Boiler (Diesel Oil)
1_Covanta_Southeastern_Connecticut_Company,Boiler (Diesel Oil)
1_Covanta_Tulsa_Renewable_Energy_LLC,Boiler (Diesel Oil)
1_Covanta_Warren_Energy,Boiler (Diesel Oil)
1_Duluth_Paper_Mill,Boiler (Diesel Oil)
1_Dutchess_Cnty_Resource_Recovery_Facility,Boiler (Diesel Oil)
1_Elk_River,Boiler (Diesel Oil)
1_Exeter_Energy_LP,Boiler (Diesel Oil)
1_Fairless_Hills,Boiler (Diesel Oil)
1_Gazmont,Boiler (Diesel Oil)
1_Glen_Ullin_Station_6,Boiler (Diesel Oil)
1_Greater_Detroit_Resource_Recovery,Boiler (Diesel Oil)
1_Herbert_A_Wagner,Boiler (Diesel Oil)
1_Huntington_Resource_Recovery_Facility,Boiler (Diesel Oil)
1_Kent_County_Waste_to_Energy_Facility,Boiler (Diesel Oil)
1_Lancaster_County_Resource_Recovery,Boiler (Diesel Oil)
1_MacArthur_Waste_to_Energy_Facility,Boiler (Diesel Oil)
1_McKay_Bay_Facility,Boiler (Diesel Oil)
1_Miami_Dade_County_Resource_Recovery_Fac,Boiler (Diesel Oil)
1_Montgomery_County_Resource_Recovery,Boiler (Diesel Oil)
1_Mosaic_Co_Tampa_Facility,Boiler (Diesel Oil)
