Generator,Node,Property,value,V1,V2,Band,V3,V4,Timeslice,Action,V5,Scenario,V6,Category
1_Cheatham,364610_1CHEATHAM H3_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Chelsea (HYQU),180047_CHELSE_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
1_Chenaux,155632_CHENAUX_GS12_13.8,Generation Participation Factor,0.251061745,,-,1,,,,=,,,,ONTE
1_Chenaux,155633_CHENAUX_GS34_13.8,Generation Participation Factor,0.251061745,,-,1,,,,=,,,,ONTE
1_Chenaux,155634_CHENAUX_GS56_13.8,Generation Participation Factor,0.251061745,,-,1,,,,=,,,,ONTE
1_Chenaux,155635_CHENAUX_GS78_13.8,Generation Participation Factor,0.246814766,,-,1,,,,=,,,,ONTE
1_Cheoah,375020_1CHEOAH H1_13.8,Generation Participation Factor,0.19580906,,-,1,,,,=,,,,TVAZ
1_Cheoah,375021_1CHEOAH H2_13.8,Generation Participation Factor,0.19580906,,-,1,,,,=,,,,TVAZ
1_Cheoah,375022_1CHEOAH H3_13.8,Generation Participation Factor,0.19580906,,-,1,,,,=,,,,TVAZ
1_Cheoah,375023_1CHEOAH H4_13.8,Generation Participation Factor,0.19580906,,-,1,,,,=,,,,TVAZ
1_Cheoah,375024_1CHEOAH H5_6.9,Generation Participation Factor,0.21676376,,-,1,,,,=,,,,TVAZ
1_Cherokee Dam,364511_1CHEROKEE H1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,TVAZ
1_Chickamauga,364431_1CHICKAMG H1_13.8,Generation Participation Factor,0.25,,-,1,,,,=,,,,TVAZ
1_Chickamauga,364432_1CHICKAMG H2_13.8,Generation Participation Factor,0.25,,-,1,,,,=,,,,TVAZ
1_Chickamauga,364433_1CHICKAMG H3_13.8,Generation Participation Factor,0.25,,-,1,,,,=,,,,TVAZ
1_Chickamauga,364434_1CHICKAMG H4_13.8,Generation Participation Factor,0.25,,-,1,,,,=,,,,TVAZ
1_Chilhowee,375012_1CHILHOWE H1_6.9,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
