Node,Voltage
300319_1ROCKPTG1_0.6,0.6
300320_5LEVASY_161,161
300321_2BATES_69,69
300323_2CENTRV_69,69
300324_2CHAPHL_69,69
300325_2RT Z_69,69
300326_2COLMBUS_69,69
300327_2ELM_69,69
300328_2MAGNOL_69,69
300329_2OAKGVNW_69,69
300330_2ODESSA_69,69
300331_2PITTSV_69,69
300334_2ROSEHL_69,69
300336_2HOLDEN_69,69
300338_2BELLTN_69,69
300339_5EMERSN_161,161
300340_2HUNNEWL_69,69
300341_2INDST2_69,69
300342_2MFACFI_69,69
300343_2MONRCT_69,69
300344_2MULDRW_69,69
300345_2PALMYR_69,69
300348_5BTLFD_161,161
300349_2SRIVER_69,69
300350_2TAYLOR_69,69
300351_2WITHRM_69,69
300352_2WQUINCY_69,69
300353_2PALMCTY_69,69
300355_2SPALDNG_69,69
300356_2WILMSTN_69,69
300357_2BARING_69,69
300358_2CANTON_69,69
300359_2CANTW2_69,69
300360_2CNTNTP_69,69
300361_2KAHOKA_69,69
300362_2LEWIST_69,69
300363_5NEWARK_161,161
300364_2NOVLTY_SW_69,69
300366_2WILMSTNTP_69,69
300367_2WINCHS_69,69
300368_2WINTAP_69,69
300369_2EWINGTP_69,69
300370_2MADSNV_69,69
300371_2MDSAPL_69,69
300372_2CANDAM_69,69
300373_2CENTER_69,69
300374_2CNTRSW_69,69
300375_2HANBLY_69,69
300376_2HASSRD_69,69
300378_2MADSNT_69,69
300379_2MDSAPT_69,69
300380_2PERRYNE_69,69
300382_2SFRKTP_69,69
300383_2SOFORK_69,69
300384_2VANDNE_69,69
300385_2HYDSBRG_69,69
300386_2HANNBL_69,69
300387_2BEVIER_69,69
300388_2AXTELL_69,69
300389_2BYNUMV_69,69
300390_2CAIRO_69,69
300391_2CLARNC_69,69
300392_2HART_69,69
300393_2HGRSGV_69,69
300394_2HUNTSV_69,69
300395_2JCKSNV_69,69
300396_2LAKENN_69,69
300397_2LETNER_69,69
300398_2LOVELK_69,69
300399_2MACN3E_69,69
300400_2MACNLK_69,69
300401_2MACNTP_69,69
300402_2MACON_69,69
300403_2MARCEL_69,69
300404_2MARCTP_69,69
300405_2MCNPLT_69,69
300406_2NCAMBR_69,69
300407_2SHELBN_69,69
300408_2SHLBTP_69,69
300409_2SHLBVL_69,69
300410_2WINIGN_69,69
300411_2TENMILETP_69,69
300412_2SUECITY_69,69
300415_2SKNKRVR_69,69
300416_2ARBELA_69,69
300417_2CONNLV_69,69
300418_2KIRKSV_69,69
300419_2LANCST_69,69
300420_2LAPLTP_69,69
300421_2LPLCTY_69,69
300422_2LPLSPL_69,69
300423_2MEMCTY_69,69
300424_2MEMPHS_69,69
300425_2MEMWYE_69,69
300426_2MILTNWY_69,69
300427_2QUEENC_69,69
300428_2EWING_69,69
300429_2WQUINCYTP_69,69
300431_2BATAVI_69,69
300432_2C CLUB_69,69
300433_2CLUBTP_69,69
300434_2PRMRST_69,69
300435_2DNMARK_69,69
300436_2FRNKLN_69,69
300437_2HARSBG_69,69
300438_2HARSTP_69,69
300439_2HENRY_69,69
300441_2LCKRDG_69,69
300442_2LOWELL_69,69
300443_2MTPLCT_69,69
300444_2MTPLST_69,69
300446_2PRIMRS_69,69
300447_2RUSELL_69,69
300448_2SAWYER_69,69
300449_2SELMA_69,69
300450_2SPGVTP_69,69
300451_2SPRGRV_69,69
300452_2WOOSTR_69,69
300453_2WPOINT_69,69
300456_2TENMILE_69,69
300457_2NOVELY_DST_69,69
300458_2BELKNP_69,69
300459_2BELKTP_69,69
300460_2BLMFLD_69,69
300461_2CHRSTN_69,69
300462_2DAVISS_69,69
300463_2DRAKVL_69,69
300464_2FLORIS_69,69
300465_2KEOSAQ_69,69
300466_2MARK_69,69
300467_2OTTUMW_69,69
300468_2PITTSB_69,69
300469_2ROSCOE_69,69
300470_2STEUBN_69,69
300471_2TROYIO_69,69
300475_2CHERYVL_69,69
300478_2AVERY_69,69
300480_5OFALLON_161,161
300482_2MORAVA_69,69
300487_2TRAIL_69,69
300492_2ASHLND_69,69
300493_2BOONE_69,69
300495_2CNTRLA_69,69
300496_2COLMBIA_69,69
300497_2DEERPK_69,69
300498_2HALLSV_69,69
300499_5HINTON_161,161
300500_5HUNTSDL_161,161
300501_5MCBAIN_161,161
300502_2PINEGV_69,69
300503_2PRATHR_69,69
300504_2SHAW_69,69
300505_2STURGN_69,69
300506_2SWITZR_69,69
300507_2WDLNDV_69,69
300508_5STURGN_161,161
300509_2KINGTP_69,69
300510_2CRGTNJT_69,69
300512_2AUXVAS_69,69
300513_2BIGSPG_69,69
300514_2CARNGTN_69,69
300516_2FULTON_69,69
300517_2KINGDM_69,69
300519_5MLRSBG_161,161
300520_2REFORM_69,69
300521_2SUMMITC_69,69
300522_2TBBETT_69,69
300523_5WLMSBG_161,161
300526_2LMV_69,69
300527_2BEAMAN_69,69
300528_2DRESDN_69,69
300529_2GEOGT1_69,69
300530_2GEOGT2_69,69
300531_2GEORGE_69,69
300533_2HUGHSV_69,69
300534_2LINCLN_69,69
300535_2MALTAB_69,69
300536_2MALTAJ_69,69
300537_2MARSHL_69,69
300538_2NAPTON_69,69
300540_2NORTON_69,69
300541_2SEDALI_69,69
300542_2SMTHTN_69,69
300543_2SWSPJC_69,69
300544_2SWSPNG_69,69
300545_2SYLVAN_69,69
300550_2CALIF_69,69
300553_2FLORNC_69,69
300554_2FORTNA_69,69
300555_5GRAVOI_161,161
300556_2HIGHPT_69,69
300557_2IVYBND_69,69
300558_2MTHULD_69,69
300559_2NEEDY_69,69
300560_2PILOTG_69,69
300561_2PRARIE_69,69
300562_2STOVER_69,69
300563_5SUNRIS_161,161
300564_2SYRACS_69,69
300565_2VERSAL_69,69
300566_5SHWNEBD_161,161
300570_2LINDEL_69,69
300571_2MEXICO_69,69
300572_2MIDDLTP_69,69
300575_2MONTGY_69,69
300576_2PARIS_69,69
300577_2PARISJ_69,69
300578_2SANTFE_69,69
300579_2SCOTS_69,69
300580_2SLTRVR_69,69
300581_2TIPTON_69,69
300582_2VANCTY_69,69
300583_2VANDAL_69,69
300584_2VANDTP_69,69
300585_2VANDVR_69,69
300586_2HERMAN2_69,69
300587_2HERMAN2J_69,69
300588_2HERMAN3_69,69
300589_2HERMAN3J_69,69
300590_5AUBURN_161,161
300591_2BIG CK_69,69
300593_5COTLE1_161,161
300595_5CYRENE_161,161
300596_5DARDEN_161,161
300597_5ENON_161,161
300599_4KISKER_138,138
300600_5NEWMEL_161,161
300602_5LAKEST_161,161
300603_2MEISTR_69,69
300604_5NEWHOP_161,161
300605_2PICKNY_69,69
300606_5TROY_161,161
300607_2WRIGHT_69,69
300608_5WRIGHT_161,161
300609_5CHARET_161,161
300612_5HOPEWEL_161,161
300613_2FAYETT_69,69
300614_2FAYTCT_69,69
300615_2YATES_69,69
300616_2BAY_69,69
300618_2BARNET_69,69
300619_2BAYJCT_69,69
300620_2BEEMNT_69,69
300621_2BERGER_69,69
300622_2BERGRJ_69,69
300623_2BRAZIT_69,69
300625_2BYRON_69,69
300626_2CHAMOI_69,69
300628_2CROOK_69,69
300629_2DRAKE_69,69
300630_2ETTERV_69,69
300631_2HERMAN_69,69
300632_2LINN_69,69
300633_2MTPLSTC_69,69
300634_2OSAGE_C_69,69
300636_2RCHFTN_69,69
300637_2SCRUGG_69,69
300638_2SWISS_69,69
300639_2TAVERN_69,69
300640_2WARDSV_69,69
300641_2POTTSTP_69,69
300642_2POTTS_69,69
300643_5VIENNA_161,161
300644_2GETTY_69,69
300645_2BRONA_69,69
300646_2BELLAMY_69,69
300647_2BLLMYTP_69,69
300648_2LAMRRLS_69,69
300649_2JASPER_69,69
300650_2KENOMA_69,69
