Collection,Parent Name,Child Name,Parent Category,Child Category
Generator.Fuels,1_Wheelabrator_Frackville_Energy,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Whelan_Energy_Center,Coal_WNC,Boiler (Coal),-
Generator.Fuels,10_Gorgas,Coal_ESC,Boiler (Coal),-
Generator.Fuels,11_Greenfield_Activated_Carbon,Coal_WSC,Boiler (Coal),-
Generator.Fuels,12_Greenfield_Activated_Carbon,Coal_WSC,Boiler (Coal),-
Generator.Fuels,12_Michigan_City,Coal_ENC,Boiler (Coal),-
Generator.Fuels,17_R_M_Schahfer,Coal_ENC,Boiler (Coal),-
Generator.Fuels,18_R_M_Schahfer,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1H_Brunner_Island,Coal_MA,Boiler (Coal),-
Generator.Fuels,1H_General_James_M_Gavin,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1H_Mountaineer,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1H_Rockport,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1L_Brunner_Island,Coal_MA,Boiler (Coal),-
Generator.Fuels,1R_General_James_M_Gavin,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1R_Mountaineer,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1R_Rockport,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_1_AES_Shady_Point_LLC,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_1_Big_Bend,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_1_Big_Cajun_2,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_1_Brame_Energy_Center,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_1_Brandon_Shores,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_1_Bull_Run,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_1_C_P_Crane,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_1_Colbert,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_1_Coleson_Cove__NBPO_,Coal_NE,Boiler (Coal),-
Generator.Fuels,2_1_Cooper,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_1_Cross,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_1_Crystal_River,Coal_SA,Boiler (Coal),-
Generator.Fuels,2_1_Cumberland__TN_,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_1_Dalhousie,Coal_NE,Boiler (Coal),-
Generator.Fuels,2_1_Dunkirk_Generating_Plant,Coal_NE,Boiler (Coal),-
Generator.Fuels,2_1_E_D_Edwards,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_1_Gallatin__TN_,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_1_H_L_Spurlock,Coal_ENC,Boiler (Coal),-
Generator.Fuels,2_1_Harrington,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_1_Independence_Steam_Electric_Station,Coal_WSC,Boiler (Coal),-
Generator.Fuels,2_1_Jeffrey_Energy_Center,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_1_Kingston,Coal_ESC,Boiler (Coal),-
Generator.Fuels,2_1_Lawrence_Energy_Center,Coal_WNC,Boiler (Coal),-
Generator.Fuels,2_1_Milton_R_Young,Coal_WNC,Boiler (Coal),-
