Simulation, Step, Columns, Integers, Rows, Non-Zeros, UC-Time, ST-Time
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,5, 2578260, 6264, 184607, 741216,  00:13:26.4,  00:40:17.0. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,6, 2578260, 6264, 184607, 741216,  00:00:04.9,  00:30:14.1. 
log_files/Model ( b_2024_EI_CAN_07 ) Log (4).txt,7, 2578260, 6264, 184607, 741216,  00:00:04.6,  00:35:13.0. 
log_files/Model ( so_2024_EI_01 ) Log.txt,1, 3521652, 99624, 1734952, 48663603,  01:30:30.6,  02:03:51.9. 
log_files/Model ( so_2024_EI_01 ) Log.txt,2, 3521652, 99624, 1734952, 48663649,  01:31:14.5,  01:57:41.6. 
log_files/Model ( so_2024_EI_01 ) Log.txt,3, 3521652, 99624, 1734952, 48663649,  02:29:43.9,  03:00:39.0. 
log_files/Model ( so_2024_EI_01 ) Log.txt,4, 3521652, 99624, 1734952, 48663649,  01:53:29.6,  02:24:35.3. 
log_files/Model ( so_2024_EI_01 ) Log.txt,5, 3521652, 99624, 1734952, 48663649,  01:58:11.0,  02:24:53.8. 
log_files/Model ( so_2024_EI_01 ) Log.txt,6, 3521652, 99624, 1734952, 48663649,  01:56:10.3,  02:20:27.7. 
log_files/Model ( so_2024_EI_01 ) Log.txt,7, 3521652, 99624, 1734952, 48663649,  01:45:50.7,  02:20:27.2. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,1, 2575644, 6000, 183623, 737626,  00:00:06.2,  00:26:38.6. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,2, 2575644, 6000, 183623, 737626,  00:00:09.1,  00:21:07.5. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,3, 2575644, 6000, 183623, 737626,  00:00:06.5,  00:19:11.1. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,4, 2575644, 6000, 183623, 737626,  00:00:06.4,  00:22:39.3. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,5, 2575644, 6000, 183623, 737626,  00:00:06.8,  00:20:24.8. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,6, 2575644, 6000, 183623, 737626,  00:00:06.8,  00:20:16.5. 
log_files/Model ( b_2024_EI_NYISO_37 ) Log (3).txt,7, 2575644, 6000, 183623, 737626,  00:00:06.4,  00:21:39.3. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,1, 2705788, 21024, 419674, 7298021,  00:00:20.9,  00:30:04.3. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,2, 2705788, 21024, 419674, 7298028,  00:01:14.1,  00:21:18.6. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,3, 2705788, 21024, 419674, 7298028,  00:00:49.2,  00:24:48.8. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,4, 2705788, 21024, 419674, 7298028,  00:00:47.9,  00:28:44.7. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,5, 2705788, 21024, 419674, 7298028,  00:00:36.9,  00:29:23.1. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,6, 2705788, 21024, 419674, 7298028,  00:00:56.6,  00:28:07.3. 
log_files/Model ( b_2024_EI_PJM_13 ) Log (3).txt,7, 2705788, 21024, 419674, 7298028,  00:00:44.6,  00:17:11.8. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,1, 2585752, 6576, 196098, 10449930,  00:00:13.1,  00:28:45.1. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,2, 2585752, 6576, 196098, 10449939,  00:00:19.1,  00:23:40.9. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,3, 2585752, 6576, 196098, 10449939,  00:00:17.0,  00:24:44.2. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,4, 2585752, 6576, 196098, 10449939,  00:00:15.9,  00:24:54.0. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,5, 2585752, 6576, 196098, 10449939,  00:00:21.3,  00:24:20.4. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,6, 2585752, 6576, 196098, 10449939,  00:00:16.4,  00:18:05.5. 
log_files/Model ( b_2024_EI_ISONE_07 ) Log (4).txt,7, 2585752, 6576, 196098, 10449939,  00:00:17.7,  00:18:21.8. 
log_files/Model ( so_2024_EI_19 ) Log.txt,1, 3521652, 99624, 1734952, 48663603,  01:54:04.4,  02:26:17.1. 
log_files/Model ( so_2024_EI_19 ) Log.txt,2, 3521652, 99624, 1734952, 48663649,  02:01:36.2,  02:36:15.6. 
log_files/Model ( so_2024_EI_19 ) Log.txt,3, 3521652, 99624, 1734952, 48663649,  01:40:08.2,  02:08:07.8. 
